model_form,time_days,process,rho0_upper,rho0_core,rho0_fracture,rho_upper,rho_core,rho_fracture,drho_upper_pct,drho_core_pct,drho_fracture_pct
DEM-tangent,365,fluid,38.453658641699214,221.5429664736905,82.47551258760205,170.45962922851757,307.96408474751075,866.5928853786568,343.28585432354896,39.00873932013689,950.7274925490132
DEM-tangent,365,dissolution,38.453658641699214,221.5429664736905,82.47551258760205,20.783107785188253,197.82651285085691,42.12239035747636,-45.95284683093583,-10.705125962845708,-48.92739791979383
DEM-tangent,365,cementation,38.453658641699214,221.5429664736905,82.47551258760205,46.48980925930897,223.0463432964972,217.93410852321009,20.89827314609627,0.6785937945744669,164.24098703446012
DEM-tangent,365,reaction,38.453658641699214,221.5429664736905,82.47551258760205,24.875610301693307,199.1245119231631,104.48668227269486,-35.3101598641692,-10.119235517770209,26.688127171945087
DEM-tangent,365,full,38.453658641699214,221.5429664736905,82.47551258760205,116.33673469562474,277.2714868035985,947.4458455069308,202.53749267298323,25.1547233554472,1048.7601783627515
DEM-tangent,1825,fluid,38.453658641699214,221.5429664736905,82.47551258760205,38.83930131333331,222.2314679650772,82.47569465500229,1.002876410870046,0.3107756036427433,0.0002207532812104
DEM-tangent,1825,dissolution,38.453658641699214,221.5429664736905,82.47551258760205,20.74779838396668,193.18807516522364,41.98665305231947,-46.04467008643039,-12.798822621089256,-49.09197683649072
DEM-tangent,1825,cementation,38.453658641699214,221.5429664736905,82.47551258760205,61.71566446023895,231.41538389194807,219.4912325896972,60.49360877540628,4.456208913059734,166.12897053117766
DEM-tangent,1825,reaction,38.453658641699214,221.5429664736905,82.47551258760205,32.44318626154087,201.44451037346832,104.81199249440115,-15.630430477792236,-9.072035289646186,27.082559666512186
DEM-tangent,1825,full,38.453658641699214,221.5429664736905,82.47551258760205,32.770274145329445,202.07289977559577,104.81221995526784,-14.77982771243176,-8.788393063431766,27.082835458513426
