data_case,mean_aS,mean_aD,mean_aC,sd_aS,sd_aD,sd_aC,corr_D_C,aS_p05,aS_p95,aD_p05,aD_p95,aC_p05,aC_p95,posterior_volume_ratio,P_Dgt0p5_Cgt0p5,P_all_within_0p25,ESS
seismic only,1.038264585535002,1.1949181442487111,1.1111744644453374,0.06311103928742821,0.37004639027118646,0.40407786745823326,0.8893247508485631,0.9344464488485087,1.1421159380965555,0.5127965628691925,1.7171497278241943,0.3653700067876017,1.69260472609566,0.0007567196414692505,0.9050053137941974,0.2550918741427515,7438.263631920103
seismic + DC,1.0105413702740214,1.1025971903786997,1.0821528144938544,0.023518912719521202,0.11696791710634269,0.1120567706877937,0.9276951076214403,0.9717812574288253,1.0497070675111941,0.9109925326795775,1.2949655610978534,0.9027078311922495,1.265731639266886,3.5165086758402707e-07,0.999999940679744,0.8898225250067459,176.4931194411947
seismic + DC + SIP,1.00537005196501,0.9721230192960083,0.9071909616356246,0.020983189901551267,0.05598008606592582,0.05333547393262279,0.6862807437182739,0.9696399372395601,1.040265416521481,0.8783166171612772,1.0653271357733345,0.8199578990279832,0.9959811947398679,6.581264652420717e-08,0.9999999999999587,0.998246463355287,73.36017035545981
