data_case,variance_DplusC,variance_DminusC,sd_DplusC,sd_DminusC,null_variance_ratio_to_prior,difference_variance_ratio_to_prior
seismic only,0.28308518366054025,0.017128070261788458,0.5320575003329435,0.1308742536245707,1.048463643187186,0.06343729726588317
seismic + DC,0.025278450182164243,0.0009597633070087891,0.1589919815027294,0.030980046917472366,0.09362388956357126,0.003554678914847367
seismic + DC + SIP,0.005038266584043703,0.0009401762315222444,0.07098074798171475,0.030662293318051807,0.018660246607569268,0.0034821341908231273
